name,model,segment,year,selling_price_lakh,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats
Suzuki Swift,Swift,Hatchback,2016,2.43,65266,Petrol,Dealer,Manual,First Owner,24.5,993.0,65.4,5.0
Suzuki Dzire,Dzire,Sedan,2017,1.99,107646,Petrol,Individual,Manual,Second Owner,20.9,1189.0,84.3,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2010,1.24,133784,Petrol,Dealer, Manual ,First Owner,18.9,1465.0,104.5,5.0
Suzuki WagonR,WagonR,Hatchback,2020,2.89,65259,CNG,Trustmark Dealer,Manual,First Owner,29.8,1010.0,65.0,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2012,1.26,140915,CNG,Individual,Manual,First Owner,30.5,1242.0,80.3,5.0
Suzuki Dzire,Dzire,Sedan,2017,2.18,110883,CNG,Individual,Manual,First Owner,30.7,1218.0,81.8,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2020,7.45,19641,Petrol,Dealer,Manual,First Owner,16.2,1466.0,105.9,5.0
Suzuki Swift,Swift,Hatchback,2008,1.2,105142,CNG,Individual,Manual,First Owner,31.8,1016.0,71.9,5.0
Suzuki Swift,Swift,Hatchback,2020,3.56,54311,Petrol,Individual,Automatic,Third Owner,19.8,985.0,68.6,5.0
Suzuki Swift,Swift,Hatchback,2015,1.64,105023,Petrol,Individual,Manual,First Owner,22.1,977.0,68.9,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2019,3.91,92064,PETROL,Individual,Automatic,Second Owner,20.3,1447.0,106.8,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2023,9.26,19724,Petrol,Dealer, Automatic ,First Owner,16.7,1454.0,97.7,4.0
Suzuki Dzire,Dzire,Sedan,2023,5.55,13769,PETROL,Individual,Manual,Second Owner,23.0,1213.0,78.8,5.0
Suzuki Dzire,Dzire,Sedan,2015,1.9,99235,Petrol,Individual,Manual,First Owner,21.1 kmpl,1172.0,81.8,5.0
Suzuki Celerio,Celerio,Hatchback,2017,1.55,101321,Petrol,Individual,Manual,Fourth & Above Owner,20.2,1022.0,66.1,5.0
Suzuki Dzire,Dzire,Sedan,2017,2.73,51846,Petrol,Individual,Manual,Third Owner,22.4,1205.0,85.4,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2017,3.02,103678,Petrol,Individual,Manual,First Owner,21.4,1464.0,102.3,5.0
Suzuki Fronx,Fronx,Compact SUV,2013,2.04,98637,Petrol,Trustmark Dealer,Manual,First Owner,20.7,1473.0,105.4,5.0
Suzuki WagonR,WagonR,Hatchback,2015,1.36,159132,CNG,Individual,Manual,First Owner,29.1,998.0,65.9,5.0
Suzuki WagonR,WagonR,Hatchback,2017,2.27,62353,Petrol,Dealer,Manual,Second Owner,22.4,981.0,65.3,5.0
Suzuki Ignis,Ignis,Hatchback,2013,1.5,91112,Petrol,Individual,Manual,First Owner,21.2,996.0,68.8,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2017,2.25,138081,Petrol,Trustmark Dealer,Automatic,First Owner,23.2,1183.0,83.5,5.0
Suzuki S-Presso,S-Presso,Hatchback,2022,3.55,19337,CNG,Dealer,Manual,First Owner,29.4 kmpl,997.0,68.5,5.0
Suzuki S-Presso,S-Presso,Hatchback,2021,2.88,51677,Petrol,Individual,Manual,Second Owner,21.9,990.0,66.5,5.0
Suzuki Dzire,Dzire,Sedan,2017,2.35,69770,Petrol,Individual,Automatic,Second Owner,19.0,1195.0,78.2,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2020,6.0,74787,Petrol,Individual,Manual,First Owner,16.9,1435.0,103.9,5.0
Suzuki Alto K10,Alto K10,Hatchback,2020,2.79,55207,Petrol,Individual,Automatic,First Owner,20.7 kmpl,1000.0,63.1,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2016,2.05,115179,Petrol,Dealer,Manual,First Owner,22.9,1218.0,79.5,5.0
Suzuki Ertiga,Ertiga,MUV,2017,2.59,155004,Petrol,Dealer,Automatic,First Owner,21.1,1460.0,102.7,6.0
Suzuki Alto K10,Alto K10,Hatchback,2011,1.2,172661,Petrol,Individual,Manual,First Owner,19.2,982.0,69.6,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2014,1.78,129951,Petrol,Dealer,Manual,Third Owner,19.2,1463.0,100.3,5.0
Suzuki Alto K10,Alto K10,Hatchback,2016,1.31,74485,Petrol,Individual,Manual,Second Owner,20.7,988.0,67.3,5.0
Suzuki Dzire,Dzire,Sedan,2014,1.57,111354,Petrol,Individual, Manual ,Second Owner,19.8,1170.0,83.6,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2017,3.04,77341,CNG,Individual,Manual,Second Owner,32.1,1213.0,83.4,5.0
Suzuki XL6,XL6,MUV,2019,5.72,59062,Petrol,Trustmark Dealer,Manual,First Owner,20.7,1466.0,104.8,7.0
Suzuki Ertiga,Ertiga,MUV,2018,4.06,21571,Petrol,Individual,Manual,Second Owner,17.9,1461.0,103.1,7.0
Suzuki Swift,Swift,Hatchback,2018,2.76,55138,Petrol,Dealer,Manual,Second Owner,21.8,1000.0,64.0,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2016,2.14,111967,PETROL,Dealer,Manual,First Owner,21.1,1177.0,79.0,5.0
Suzuki WagonR,WagonR,Hatchback,2015,1.88,83357,CNG,Trustmark Dealer,Manual,First Owner,32.4,1006.0,59.2,5.0
Suzuki Celerio,Celerio,Hatchback,2013,1.44,97779,Petrol,Dealer,Manual,First Owner,,,,
Suzuki Dzire,Dzire,Sedan,2016,2.12,96376,Petrol,Individual,Automatic,First Owner,19.8,1175.0,82.7,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2018,2.83,95991,Petrol,Dealer,Manual,First Owner,23.2,1177.0,81.2,5.0
Suzuki Fronx,Fronx,Compact SUV,2014,1.88,171398,Petrol,Individual,Manual,First Owner,20.6,1468.0,100.4,5.0
Suzuki WagonR,WagonR,Hatchback,2011,1.2,110650,CNG,Individual,Manual,First Owner,29.1 kmpl,982.0,65.3,5.0
Suzuki Fronx,Fronx,Compact SUV,2019,3.92,48430,Petrol,Individual,Manual,First Owner,18.3,1481.0,100.4,5.0
Suzuki WagonR,WagonR,Hatchback,2009,1.2,229438,Petrol,Trustmark Dealer,Manual,Third Owner,22.1,982.0,66.7,5.0
Suzuki Ertiga,Ertiga,MUV,2017,3.71,68212,Petrol,Trustmark Dealer,Manual,First Owner,19.6,1483.0,103.8,7.0
Suzuki Ertiga,Ertiga,MUV,2012,1.53,163085,Petrol,Individual,Manual,Second Owner,20.1,1443.0,106.9,7.0
Suzuki Celerio,Celerio,Hatchback,2016,1.51,135642,Petrol,Individual,Manual,First Owner,21.0,986.0,68.6,5.0
Suzuki Swift,Swift,Hatchback,2016,1.98,88486,Petrol,Individual,Manual,First Owner,20.0,996.0,64.2,5.0
Suzuki Swift,Swift,Hatchback,2019,3.12,54046,Petrol,Dealer,Automatic,Third Owner,19.9 kmpl,1007.0,73.2,5.0
Suzuki Celerio,Celerio,Hatchback,2019,3.02,62317,Petrol,Individual,Manual,First Owner,,,,
Suzuki Swift,Swift,Hatchback,2012,1.2,142489,Petrol,Individual,Manual,First Owner,21.6,993.0,72.2,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2019,3.01,53981,Petrol,Individual,Manual,Third Owner,21.6 kmpl,1176.0,76.1,5.0
Suzuki Dzire,Dzire,Sedan,2013,1.2,153895,Petrol,Individual,Automatic,Third Owner,21.2,1219.0,81.8,5.0
Suzuki Celerio,Celerio,Hatchback,2018,2.03,78887,Petrol,Individual,Manual,Third Owner,20.0,1007.0,66.3,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2018,2.9,82525,Petrol,Trustmark Dealer,Manual,Second Owner,21.3,1229.0,83.9,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2016,3.49,111457,Petrol,Individual,Manual,First Owner,16.3,1443.0,99.8,5.0
Suzuki Swift,Swift,Hatchback,2015,1.45,89456,Petrol,Individual,Manual,Fourth & Above Owner,21.9,1021.0,68.0,5.0
Suzuki Ertiga,Ertiga,MUV,2020,5.44,53435,Petrol,Individual,Automatic,First Owner,19.7,1475.0,98.6,7.0
Suzuki Alto K10,Alto K10,Hatchback,2020,2.62,45457,CNG,Individual,Automatic,Second Owner,31.8,1020.0,66.2,5.0
Suzuki Ignis,Ignis,Hatchback,2018,2.7,60147,CNG,Dealer,Automatic,Second Owner,31.9,997.0,65.5,5.0
Suzuki Alto K10,Alto K10,Hatchback,2015,1.57,51966,Petrol,Individual,Manual,First Owner,21.9,1000.0,69.9,5.0
Suzuki Alto K10,Alto K10,Hatchback,2019,2.08,75150,CNG,Dealer,Manual,First Owner,30.7 kmpl,1014.0,67.0,5.0
Suzuki Celerio,Celerio,Hatchback,2023,5.77,7943,Petrol,Dealer,Automatic,First Owner,24.0 kmpl,972.0,66.0,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2019,4.48,58131,Petrol,Individual,Automatic,First Owner,19.4,1467.0,110.3,5.0
Suzuki WagonR,WagonR,Hatchback,2017,2.14,97231,Petrol,Dealer,Manual,First Owner,18.6,1017.0,71.4,5.0
Suzuki WagonR,WagonR,Hatchback,2013,1.47,78465,CNG,Dealer,Manual,First Owner,29.9,1009.0,68.5,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2015,1.79,141534,Petrol,Dealer,Automatic,First Owner,20.6,1177.0,80.8,5.0
Suzuki Ignis,Ignis,Hatchback,2012,1.29,99134,Petrol,Dealer,Manual,First Owner,21.7,1003.0,68.5,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2021,5.11,41377,CNG,Individual,Manual,First Owner,30.9,1200.0,79.3,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2019,5.14,69542,Petrol,Individual,Automatic,First Owner,20.8 kmpl,1458.0,104.4,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2021,6.1,30678,Petrol,Dealer,Automatic,First Owner,20.4 kmpl,1448.0,106.4,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2019,3.62,57129,CNG,Trustmark Dealer,Automatic,Second Owner,31.4,1207.0,77.4,5.0
Suzuki Alto K10,Alto K10,Hatchback,2015,1.2,120326,CNG,Dealer,Manual,Second Owner,31.4,986.0,62.1,5.0
Suzuki S-Presso,S-Presso,Hatchback,2020,2.95,15462,CNG,Individual,Manual,First Owner,28.7,1023.0,67.7,5.0
Suzuki Swift,Swift,Hatchback,2013,1.43,102855,Petrol,Dealer,Manual,First Owner,21.2,1034.0,71.2,5.0
Suzuki S-Presso,S-Presso,Hatchback,2020,2.82,40041,Petrol,Individual,Automatic,Second Owner,22.0,1001.0,66.2,5.0
Suzuki Dzire,Dzire,Sedan,2017,2.67,69021,Petrol,Individual,Manual,Second Owner,21.3,1212.0,86.0,5.0
Suzuki WagonR,WagonR,Hatchback,2021,4.0,47192,Petrol,Individual, Automatic ,Second Owner,20.2,1009.0,62.5,5.0
Suzuki Jimny,Jimny,SUV,2019,7.07,56475,Petrol,Individual,Manual,First Owner,19.3,1448.0,99.9,5.0
Suzuki Celerio,Celerio,Hatchback,2023,4.73,14016,CNG,Dealer,Automatic,First Owner,27.3,998.0,71.1,5.0
Suzuki Swift,Swift,Hatchback,2020,2.94,28168,Petrol,Individual,Automatic,Fourth & Above Owner,19.7,986.0,62.2,5.0
Suzuki Celerio,Celerio,Hatchback,2016,1.65,115776,CNG,Individual,Manual,First Owner,,996.0,71.8,
Suzuki Celerio,Celerio,Hatchback,2013,1.2,226859,Petrol,Individual,Manual,Second Owner,23.7 kmpl,1003.0,65.4,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2013,1.36,166755,CNG,Dealer,Manual,First Owner,30.9 kmpl,1202.0,80.8,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2014,2.14,81064,Petrol,Individual,Automatic,Third Owner,21.6,1208.0,81.9,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2014,1.86,114137,Petrol,Dealer,Manual,First Owner,19.7,1191.0,78.9,5.0
Suzuki Jimny,Jimny,SUV,2014,3.09,127174,Petrol,Individual,Manual,First Owner,14.5,1428.0,105.5,4.0
Suzuki Fronx,Fronx,Compact SUV,2023,8.02,500,Petrol,Individual,Manual,First Owner,22.0,1446.0,104.0,5.0
Suzuki Ignis,Ignis,Hatchback,2013,1.2,159966,CNG,Individual,Manual,Second Owner,33.3,994.0,67.3,5.0
Suzuki Fronx,Fronx,Compact SUV,2018,3.28,74081,Petrol,Individual,Manual,Second Owner,20.5,1462.0,103.7,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2020,5.29,57283,Petrol,Individual,Automatic,First Owner,22.4,1489.0,99.9,5.0
Suzuki Ciaz,Ciaz,Sedan,2018,4.58,62932,Petrol,Individual,Manual,First Owner,19.0,1173.0,78.6,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2023,9.82,28358,Petrol,Individual,Automatic,Second Owner,16.4,1462.0,112.0,4.0
Suzuki WagonR,WagonR,Hatchback,2021,4.77,34249,Petrol,Dealer,Automatic,First Owner,20.9,971.0,65.2,5.0
Suzuki WagonR,WagonR,Hatchback,2018,2.6,34108,Petrol,Dealer,Manual,Second Owner,21.5,966.0,61.5,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2020,5.48,43757,Petrol,Dealer,Manual,First Owner,21.1,1447.0,107.5,5.0
Suzuki Celerio,Celerio,Hatchback,2015,1.42,115005,CNG,Dealer, Manual ,Second Owner,34.2,978.0,71.4,5.0
Suzuki WagonR,WagonR,Hatchback,2017,2.46,77905,Petrol,Trustmark Dealer,Manual,First Owner,21.7,1021.0,67.5,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2023,7.41,500,Petrol,Dealer,Manual,Second Owner,19.5,1466.0,103.6,5.0
Suzuki Alto K10,Alto K10,Hatchback,2022,3.1,37791,Petrol,Dealer,Manual,First Owner,22.3,981.0,68.1,5.0
Suzuki Dzire,Dzire,Sedan,2019,3.9,53647,Petrol,Individual,Automatic,First Owner,19.9,1196.0,84.7,5.0
Suzuki Swift,Swift,Hatchback,2019,2.6,87036,CNG,Dealer,Automatic,Second Owner,33.2,985.0,64.8,5.0
Suzuki Ciaz,Ciaz,Sedan,2018,4.03,83274,Petrol,Dealer,Manual,First Owner,21.9,1184.0,82.6,5.0
Suzuki Ciaz,Ciaz,Sedan,2018,3.05,110605,CNG,Individual,Manual,First Owner,30.0,1229.0,79.8,5.0
Suzuki Fronx,Fronx,Compact SUV,2015,2.21,108121,CNG,Dealer,Manual,First Owner,27.4,1476.0,94.8,5.0
Suzuki Celerio,Celerio,Hatchback,2022,3.52,39328,PETROL,Dealer,Manual,Second Owner,,993.0,62.1,
Suzuki Baleno,Baleno,Premium Hatchback,2017,2.59,42848,PETROL,Trustmark Dealer,Manual,Third Owner,20.1,1197.0,81.2,5.0
Suzuki Dzire,Dzire,Sedan,2022,5.05,50447,Petrol,Dealer,Manual,First Owner,21.1,1172.0,80.4,5.0
Suzuki Alto K10,Alto K10,Hatchback,2019,2.55,33319,Petrol,Individual,Manual,First Owner,22.5,969.0,67.2,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2014,1.8,137355,Petrol,Individual,Automatic,Fourth & Above Owner,16.3,1468.0,103.2,5.0
Suzuki Ignis,Ignis,Hatchback,2016,1.89,76796,Petrol,Dealer,Manual,Second Owner,22.5,997.0,64.9,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2022,5.1,37255,CNG,Individual,Automatic,First Owner,32.1,1200.0,84.5,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2019,4.24,38571,Petrol,Individual,Manual,Second Owner,20.2,1454.0,97.9,5.0
Suzuki Dzire,Dzire,Sedan,2009,1.2,191718,Petrol,Individual,Automatic,First Owner,23.8,1208.0,82.4,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2018,4.26,57131,Petrol,Individual,Manual,First Owner,19.2,1465.0,101.4,5.0
Suzuki S-Presso,S-Presso,Hatchback,2020,2.27,73090,CNG,Dealer,Automatic,Second Owner,30.4,980.0,71.7,5.0
Suzuki Ertiga,Ertiga,MUV,2018,3.97,65340,Petrol,Trustmark Dealer,Automatic,First Owner,18.6,1493.0,106.0,6.0
Suzuki Celerio,Celerio,Hatchback,2023,4.75,7053,Petrol,Dealer,Manual,First Owner,21.8,1005.0,61.8,5.0
Suzuki Ciaz,Ciaz,Sedan,2015,2.53,109946,PETROL,Individual,Manual,First Owner,20.9,1202.0,82.8,5.0
Suzuki XL6,XL6,MUV,2018,4.24,91533,Petrol,Individual,Automatic,Second Owner,,1473.0,105.9,7.0
Suzuki WagonR,WagonR,Hatchback,2017,1.79,108310,Petrol,Dealer,Manual,First Owner,22.0,1017.0,65.9,5.0
Suzuki Dzire,Dzire,Sedan,2019,3.76,58777,Petrol,Individual,Manual,First Owner,21.8,1210.0,80.0,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2023,5.79,26232,Petrol,Individual,Automatic,Second Owner,22.4 kmpl,1244.0,84.6,5.0
Suzuki XL6,XL6,MUV,2023,7.88,500,Petrol,Dealer,Manual,Third Owner,19.1 kmpl,1455.0,103.2,7.0
Suzuki S-Presso,S-Presso,Hatchback,2014,1.2,112115,Petrol,Individual, Manual ,First Owner,22.0,992.0,67.4,5.0
Suzuki Dzire,Dzire,Sedan,2020,3.71,34637,Petrol,Individual,Manual,Third Owner,21.2,1204.0,82.9,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2022,8.25,14130,CNG,Individual,Automatic,First Owner,26.9,1456.0,100.4,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2018,3.42,33426,CNG,Individual,Manual,Second Owner,26.3,1207.0,81.7,5.0
Suzuki Dzire,Dzire,Sedan,2017,2.6,78146,Petrol,Dealer,Manual,Second Owner,20.5 kmpl,1208.0,79.6,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2023,6.06,17148,Petrol,Individual,Automatic,Second Owner,22.9,1208.0,81.0,5.0
Suzuki XL6,XL6,MUV,2021,7.72,39421,Petrol,Individual,Manual,Second Owner,20.2,1462.0,101.8,6.0
Suzuki WagonR,WagonR,Hatchback,2020,3.25,43223,Petrol,Individual,Manual,First Owner,22.3,968.0,66.9,5.0
Suzuki Grand Vitara,Grand Vitara,SUV,2013,2.43,142347,Petrol,Individual,Manual,Second Owner,15.6,1433.0,101.9,5.0
Suzuki Dzire,Dzire,Sedan,2015,1.53,120608,Petrol,Individual,Manual,Second Owner,20.8,1227.0,86.4,5.0
Suzuki XL6,XL6,MUV,2023,9.78,12708,Petrol,Individual,Manual,Second Owner,18.7,1460.0,108.9,7.0
Suzuki XL6,XL6,MUV,2018,5.62,76578,Petrol,Trustmark Dealer,Automatic,First Owner,21.2 kmpl,1469.0,102.9,6.0
Suzuki Grand Vitara,Grand Vitara,SUV,2016,3.78,88337,Petrol,Individual,Manual,Second Owner,18.8,1491.0,103.1,5.0
Suzuki Ertiga,Ertiga,MUV,2023,6.48,11342,Petrol,Individual,Manual,Second Owner,19.2,1473.0,104.3,6.0
Suzuki Swift,Swift,Hatchback,2022,4.82,21783,Petrol,Individual,Automatic,Second Owner,21.5,998.0,68.9,5.0
Suzuki Swift,Swift,Hatchback,2023,5.19,500,Petrol,Individual,Manual,Second Owner,20.9,979.0,60.3,5.0
Suzuki Alto K10,Alto K10,Hatchback,2020,2.5,47982,Petrol,Trustmark Dealer,Automatic,Third Owner,22.5,988.0,70.2,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2023,6.87,16888,CNG,Individual,Manual,First Owner,29.5 kmpl,1192.0,80.8,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2018,3.52,80168,CNG,Individual,Manual,First Owner,28.9,1425.0,97.9,5.0
Suzuki Dzire,Dzire,Sedan,2018,2.82,80635,CNG,Trustmark Dealer, Manual ,First Owner,29.1 kmpl,1215.0,80.2,5.0
Suzuki Swift,Swift,Hatchback,2020,3.29,69570,Petrol,Individual,Manual,First Owner,20.9,982.0,68.6,5.0
Suzuki Dzire,Dzire,Sedan,2017,2.26,108612,Petrol,Individual,Automatic,First Owner,19.2 kmpl,1183.0,85.7,5.0
Suzuki WagonR,WagonR,Hatchback,2017,1.81,127799,CNG,Dealer,Automatic,First Owner,29.8,991.0,65.0,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2013,1.74,99421,Petrol,Individual,Manual,First Owner,22.0,1227.0,85.7,5.0
Suzuki WagonR,WagonR,Hatchback,2023,4.79,26271,Petrol,Individual,Manual,First Owner,21.6 kmpl,1011.0,67.0,5.0
Suzuki S-Presso,S-Presso,Hatchback,2021,3.5,22568,Petrol,Dealer,Automatic,First Owner,21.8,997.0,60.6,5.0
Suzuki Dzire,Dzire,Sedan,2019,3.85,26936,Petrol,Individual,Manual,First Owner,23.9,1189.0,83.2,5.0
Suzuki XL6,XL6,MUV,2022,9.29,28048,Petrol,Individual,Automatic,First Owner,19.6,1458.0,100.5,6.0
Suzuki Celerio,Celerio,Hatchback,2015,1.69,88269,Petrol,Individual,Manual,First Owner,21.0,1012.0,70.3,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2016,2.09,107201,Petrol,Individual,Manual,Second Owner,19.1,1471.0,105.1,5.0
Suzuki WagonR,WagonR,Hatchback,2016,1.87,113591,CNG,Dealer,Manual,First Owner,30.0,966.0,67.1,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2012,1.24,173209,Petrol,Dealer,Manual,Third Owner,18.7,1480.0,107.0,5.0
Suzuki S-Presso,S-Presso,Hatchback,2020,2.62,64518,Petrol,Individual,Manual,First Owner,19.7,1007.0,66.2,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2011,1.64,56127,Petrol,Individual,Manual,First Owner,21.4,1203.0,83.8,5.0
Suzuki Ertiga,Ertiga,MUV,2018,4.75,34793,Petrol,Trustmark Dealer,Automatic,First Owner,19.2,1454.0,103.5,7.0
Suzuki Baleno,Baleno,Premium Hatchback,2023,7.69,3859,CNG,Individual,Automatic,First Owner,31.9,1184.0,87.4,5.0
Suzuki Ciaz,Ciaz,Sedan,2017,3.97,71978,Petrol,Individual,Manual,First Owner,21.9,1201.0,83.8,5.0
Suzuki Alto K10,Alto K10,Hatchback,2017,1.77,60360,Petrol,Trustmark Dealer,Manual,First Owner,22.8,1007.0,64.6,5.0
Suzuki Dzire,Dzire,Sedan,2023,6.15,5667,CNG,Trustmark Dealer,Automatic,Second Owner,29.8,1211.0,83.6,5.0
Suzuki S-Presso,S-Presso,Hatchback,2010,1.2,171678,Petrol,Individual,Manual,Second Owner,20.9 kmpl,966.0,69.0,5.0
Suzuki WagonR,WagonR,Hatchback,2018,2.2,98530,CNG,Dealer, Manual ,First Owner,31.1 kmpl,986.0,69.0,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2021,4.3,45814,CNG,Individual,Manual,First Owner,27.6 kmpl,1185.0,79.7,5.0
Suzuki Celerio,Celerio,Hatchback,2015,1.59,87927,CNG,Trustmark Dealer,Manual,First Owner,32.3,972.0,70.6,5.0
Suzuki Swift,Swift,Hatchback,2014,1.49,164440,CNG,Trustmark Dealer,Manual,First Owner,,,,
Suzuki Alto K10,Alto K10,Hatchback,2018,1.85,83484,Petrol,Individual,Manual,First Owner,23.2,991.0,62.0,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2015,2.37,110278,Petrol,Dealer,Manual,First Owner,19.9,1475.0,98.9,5.0
Suzuki Swift,Swift,Hatchback,2013,1.2,157018,CNG,Trustmark Dealer,Manual,Second Owner,32.3 kmpl,1013.0,67.0,5.0
Suzuki Dzire,Dzire,Sedan,2020,4.23,35451,Petrol,Individual,Manual,Second Owner,19.7,1203.0,83.4,5.0
Suzuki Dzire,Dzire,Sedan,2023,0.01,13829,Petrol,Individual,Automatic,First Owner,21.4,1200.0,84.1,5.0
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2018,3.95,73928,Petrol,Individual,Automatic,Second Owner,21.6,1462.0,100.1,5.0
Suzuki Fronx,Fronx,Compact SUV,2009,1.2,136867,Petrol,Individual,Manual,First Owner,19.8,1473.0,98.9,5.0
Suzuki Alto K10,Alto K10,Hatchback,2018,1.81,79933,Petrol,Individual,Manual,First Owner,,990.0,69.2,
Suzuki Baleno,Baleno,Premium Hatchback,2017,2.73,88371,Petrol,Individual,Automatic,First Owner,20.6 kmpl,1195.0,85.3,5.0
Suzuki Swift,Swift,Hatchback,2013,1.65,101726,Petrol,Dealer,Manual,First Owner,21.6,1008.0,66.0,5.0
Suzuki Dzire,Dzire,Sedan,2020,4.19,60034,Petrol,Individual,Automatic,First Owner,21.8,1202.0,79.0,5.0
Suzuki Swift,Swift,Hatchback,2015,1.8,136694,CNG,Individual,Automatic,First Owner,33.9,1003.0,66.0,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2016,2.26,78862,PETROL,Individual, Manual ,First Owner,21.3,1210.0,81.2,5.0
Suzuki Dzire,Dzire,Sedan,2018,2.54,79483,Petrol,Individual,Manual,First Owner,22.9,1215.0,83.1,5.0
Suzuki Celerio,Celerio,Hatchback,2021,3.39,58204,Petrol,Individual,Automatic,Second Owner,,1016.0,65.4,5.0
Suzuki S-Presso,S-Presso,Hatchback,2021,3.38,17090,Petrol,Individual,Manual,Second Owner,21.1,986.0,68.7,5.0
Suzuki S-Presso,S-Presso,Hatchback,2010,1.2,169469,Petrol,Dealer,Manual,Second Owner,23.4,982.0,65.9,5.0
Suzuki Alto K10,Alto K10,Hatchback,2023,3.64,11701,PETROL,Individual,Manual,Second Owner,21.7 kmpl,1006.0,66.5,5.0
Suzuki Ertiga,Ertiga,MUV,2018,4.17,80121,Petrol,Individual,Automatic,First Owner,21.0,1454.0,105.8,7.0
Suzuki Grand Vitara,Grand Vitara,SUV,2013,2.36,115046,Petrol,Dealer,Manual,Second Owner,16.6 kmpl,1464.0,105.8,4.0
Suzuki Celerio,Celerio,Hatchback,2021,3.57,43767,Petrol,Dealer,Automatic,First Owner,,,,
Suzuki Vitara Brezza,Vitara Brezza,Compact SUV,2021,5.3,58973,Petrol,Dealer,Manual,Second Owner,20.6,1499.0,101.9,5.0
Suzuki Baleno,Baleno,Premium Hatchback,2020,4.63,48129,Petrol,Dealer,Manual,First Owner,22.1,1226.0,80.7,5.0
Suzuki S-Presso,S-Presso,Hatchback,2018,2.15,61023,Petrol,Individual,Manual,Second Owner,21.8,1026.0,68.7,5.0
Suzuki XL6,XL6,MUV,2021,7.93,24563,Petrol,Individual,Manual,First Owner,20.0,1451.0,104.6,7.0
Suzuki Baleno,Baleno,Premium Hatchback,2017,2.0,123729,Petrol,Individual,Manual,Second Owner,22.5 kmpl,1208.0,78.6,5.0
Suzuki Ertiga,Ertiga,MUV,2009,1.2,178007,Diesel,Individual,Manual,First Owner,24.4,1471.0,104.9,7.0
Suzuki Fronx,Fronx,Compact SUV,2020,4.3,42910,PETROL,Dealer,Manual,First Owner,19.9,1453.0,108.7,5.0
Suzuki Jimny,Jimny,SUV,2023,12.29,11290,Petrol,Individual,Automatic,Second Owner,17.8,1467.0,102.7,4.0
Suzuki Swift,Swift,Hatchback,2019,3.02,69833,Petrol,Individual,Manual,Second Owner,,,,
Suzuki Fronx,Fronx,Compact SUV,2018,4.45,24680,Petrol,Trustmark Dealer,Automatic,First Owner,20.0,1467.0,104.4,5.0
Suzuki Ciaz,Ciaz,Sedan,2017,2.42,132404,Petrol,Dealer,Manual,Second Owner,19.3,1203.0,81.2,5.0
